,imagens,escalas,escalas_acumuladas
count,30.0,30.0,30.0
mean,14.5,1.000574482297929,1.007372615884673
std,8.803408430829505,0.0002917563293766121,0.005267291844442419
min,0.0,1.0,1.0
25%,7.25,1.0004008016032064,1.0033111144531688
50%,14.5,1.0004008016032064,1.0062302067564715
75%,21.75,1.0008016032064129,1.0110797432760292
max,29.0,1.0012024048096193,1.01737755048696
