,imagens,escalas acumuladas
count,63.0,63.0
mean,31.0,1.0195206294518966
std,18.33030277982336,0.011497702320074648
min,0.0,1.0
25%,15.5,1.009662409724935
50%,31.0,1.021052682745315
75%,46.5,1.027825841267294
max,62.0,1.0400454644375174
