,imagens,escalas
count,63.0,63.0
mean,31.0,1.0006234691605431
std,18.33030277982336,0.0002470473962629314
min,0.0,1.0
25%,15.5,1.0004008016032064
50%,31.0,1.0008016032064129
75%,46.5,1.0008016032064129
max,62.0,1.0012024048096193
