image_index,keypoint_count,avg_response,scale_val
0,720,0.0020440256615984254,1.084197212830745
1,990,0.0020920159242285245,1.0976955979851333
2,1020,0.0020827387637623093,1.098736928622503
3,1031,0.00208124971951274,1.0988054441172217
4,1071,0.0020883328549391707,1.1010428618654993
5,1089,0.0021029736849251038,1.1021406599439556
6,1123,0.002106426334512799,1.1037385750744422
7,1153,0.0021031098009159036,1.1055631281141778
8,1194,0.002085281733226131,1.105831986643351
9,1168,0.0021035321189803455,1.105838186745452
10,1175,0.0020935431246625934,1.105867727244166
11,1186,0.0020900095628832056,1.1058521161351536
12,1169,0.002098960531385531,1.105829769026263
13,1286,0.0021447289066460176,1.112712857762268
14,1371,0.0021661023485707287,1.1182615797215332
15,1445,0.00217463235575448,1.1222802701072911
16,1482,0.0021482427000739284,1.123599967346612
17,1527,0.002195529632554551,1.1313729681218143
18,1542,0.0022063768047074776,1.132312634787347
19,1536,0.0022282816149375626,1.143797697456275
20,1522,0.0022167805040747162,1.1517415313651351
21,1506,0.0021765667504994608,1.1583896798400908
22,1397,0.0021856543608009815,1.1647458543960525
23,1243,0.0021737474383043062,1.1740752105632517
24,1125,0.0021126958611938688,1.1829381326060848
25,946,0.002106593848559533,1.19172432651371
26,873,0.0020734035472128485,1.197759827723021
27,760,0.0020812886681309656,1.2039975446631734
28,753,0.0020884434070443094,1.2042724578753594
29,665,0.002056304694160371,1.2112963290304783
