,imagens,escalas,escalas_acumuladas
count,30.0,30.0,30.0
mean,14.5,1.1348806354742522,26.459297323841223
std,8.803408430829505,0.03902457832761614,30.791358294913582
min,0.0,1.0841972128307453,2.9923872903579913
25%,7.25,1.105629788342199,6.0276280875474875
50%,14.5,1.1202709249144123,12.822531135871795
75%,21.75,1.163156810757062,33.46887987430438
max,29.0,1.2112963290304783,120.80379321560541
